observation_id,provider_id,cohort_label,cohort_launch_period,observed_as_of,months_since_launch,cohort_passings,reported_penetration,quality_grade,source_id,cohort_definition,caveat
shentel_2024q4_launch_2022q1_age33,shentel_glo,Q1 2022 launch,2022-Q1,2024-12-31,33,18000,0.201,A,shentel_2024q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q4_launch_2021q4_age36,shentel_glo,Q4 2021 launch,2021-Q4,2024-12-31,36,14000,0.197,A,shentel_2024q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q1_launch_2025q1_age0,shentel_glo,Q1 2025 launch,2025-Q1,2025-03-31,0,17000,0.055,A,shentel_2025q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q1_launch_2024q4_age3,shentel_glo,Q4 2024 launch,2024-Q4,2025-03-31,3,27000,0.081,A,shentel_2025q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q1_launch_2024q3_age6,shentel_glo,Q3 2024 launch,2024-Q3,2025-03-31,6,22000,0.139,A,shentel_2025q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q1_launch_2024q2_age9,shentel_glo,Q2 2024 launch,2024-Q2,2025-03-31,9,22000,0.149,A,shentel_2025q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q1_launch_2024q1_age12,shentel_glo,Q1 2024 launch,2024-Q1,2025-03-31,12,25000,0.118,A,shentel_2025q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q1_launch_2023q4_age15,shentel_glo,Q4 2023 launch,2023-Q4,2025-03-31,15,31000,0.146,A,shentel_2025q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q1_launch_2023q3_age18,shentel_glo,Q3 2023 launch,2023-Q3,2025-03-31,18,20000,0.193,A,shentel_2025q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q1_launch_2023q2_age21,shentel_glo,Q2 2023 launch,2023-Q2,2025-03-31,21,21000,0.211,A,shentel_2025q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q1_launch_2023q1_age24,shentel_glo,Q1 2023 launch,2023-Q1,2025-03-31,24,17000,0.247,A,shentel_2025q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q1_launch_2022q4_age27,shentel_glo,Q4 2022 launch,2022-Q4,2025-03-31,27,16000,0.245,A,shentel_2025q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q1_launch_2022q3_age30,shentel_glo,Q3 2022 launch,2022-Q3,2025-03-31,30,18000,0.247,A,shentel_2025q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q1_launch_2022q2_age33,shentel_glo,Q2 2022 launch,2022-Q2,2025-03-31,33,19000,0.239,A,shentel_2025q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q1_launch_2022q1_age36,shentel_glo,Q1 2022 launch,2022-Q1,2025-03-31,36,18000,0.207,A,shentel_2025q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q2_launch_2025q2_age0,shentel_glo,Q2 2025 launch,2025-Q2,2025-06-30,0,16000,0.090,A,shentel_2025q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q2_launch_2025q1_age3,shentel_glo,Q1 2025 launch,2025-Q1,2025-06-30,3,17000,0.113,A,shentel_2025q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q2_launch_2024q4_age6,shentel_glo,Q4 2024 launch,2024-Q4,2025-06-30,6,27000,0.092,A,shentel_2025q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q2_launch_2024q3_age9,shentel_glo,Q3 2024 launch,2024-Q3,2025-06-30,9,22000,0.155,A,shentel_2025q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q2_launch_2024q2_age12,shentel_glo,Q2 2024 launch,2024-Q2,2025-06-30,12,22000,0.152,A,shentel_2025q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q2_launch_2024q1_age15,shentel_glo,Q1 2024 launch,2024-Q1,2025-06-30,15,25000,0.128,A,shentel_2025q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q2_launch_2023q4_age18,shentel_glo,Q4 2023 launch,2023-Q4,2025-06-30,18,31000,0.157,A,shentel_2025q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q2_launch_2023q3_age21,shentel_glo,Q3 2023 launch,2023-Q3,2025-06-30,21,20000,0.201,A,shentel_2025q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q2_launch_2023q2_age24,shentel_glo,Q2 2023 launch,2023-Q2,2025-06-30,24,21000,0.230,A,shentel_2025q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q2_launch_2023q1_age27,shentel_glo,Q1 2023 launch,2023-Q1,2025-06-30,27,17000,0.265,A,shentel_2025q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q2_launch_2022q4_age30,shentel_glo,Q4 2022 launch,2022-Q4,2025-06-30,30,16000,0.260,A,shentel_2025q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q2_launch_2022q3_age33,shentel_glo,Q3 2022 launch,2022-Q3,2025-06-30,33,18000,0.256,A,shentel_2025q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q2_launch_2022q2_age36,shentel_glo,Q2 2022 launch,2022-Q2,2025-06-30,36,19000,0.247,A,shentel_2025q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q3_launch_2025q3_age0,shentel_glo,Q3 2025 launch,2025-Q3,2025-09-30,0,21000,0.081,A,shentel_2025q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q3_launch_2025q2_age3,shentel_glo,Q2 2025 launch,2025-Q2,2025-09-30,3,16000,0.119,A,shentel_2025q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q3_launch_2025q1_age6,shentel_glo,Q1 2025 launch,2025-Q1,2025-09-30,6,17000,0.116,A,shentel_2025q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q3_launch_2024q4_age9,shentel_glo,Q4 2024 launch,2024-Q4,2025-09-30,9,27000,0.100,A,shentel_2025q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q3_launch_2024q3_age12,shentel_glo,Q3 2024 launch,2024-Q3,2025-09-30,12,22000,0.174,A,shentel_2025q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q3_launch_2024q2_age15,shentel_glo,Q2 2024 launch,2024-Q2,2025-09-30,15,22000,0.164,A,shentel_2025q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q3_launch_2024q1_age18,shentel_glo,Q1 2024 launch,2024-Q1,2025-09-30,18,25000,0.139,A,shentel_2025q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q3_launch_2023q4_age21,shentel_glo,Q4 2023 launch,2023-Q4,2025-09-30,21,31000,0.169,A,shentel_2025q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q3_launch_2023q3_age24,shentel_glo,Q3 2023 launch,2023-Q3,2025-09-30,24,20000,0.219,A,shentel_2025q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q3_launch_2023q2_age27,shentel_glo,Q2 2023 launch,2023-Q2,2025-09-30,27,21000,0.245,A,shentel_2025q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q3_launch_2023q1_age30,shentel_glo,Q1 2023 launch,2023-Q1,2025-09-30,30,17000,0.274,A,shentel_2025q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q3_launch_2022q4_age33,shentel_glo,Q4 2022 launch,2022-Q4,2025-09-30,33,16000,0.275,A,shentel_2025q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q3_launch_2022q3_age36,shentel_glo,Q3 2022 launch,2022-Q3,2025-09-30,36,18000,0.269,A,shentel_2025q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q4_launch_2025q4_age0,shentel_glo,Q4 2025 launch,2025-Q4,2025-12-31,0,26000,0.047,A,shentel_2025q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q4_launch_2025q3_age3,shentel_glo,Q3 2025 launch,2025-Q3,2025-12-31,3,21000,0.112,A,shentel_2025q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q4_launch_2025q2_age6,shentel_glo,Q2 2025 launch,2025-Q2,2025-12-31,6,16000,0.142,A,shentel_2025q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q4_launch_2025q1_age9,shentel_glo,Q1 2025 launch,2025-Q1,2025-12-31,9,17000,0.133,A,shentel_2025q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q4_launch_2024q4_age12,shentel_glo,Q4 2024 launch,2024-Q4,2025-12-31,12,27000,0.119,A,shentel_2025q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q4_launch_2024q3_age15,shentel_glo,Q3 2024 launch,2024-Q3,2025-12-31,15,22000,0.184,A,shentel_2025q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q4_launch_2024q2_age18,shentel_glo,Q2 2024 launch,2024-Q2,2025-12-31,18,22000,0.189,A,shentel_2025q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q4_launch_2024q1_age21,shentel_glo,Q1 2024 launch,2024-Q1,2025-12-31,21,25000,0.146,A,shentel_2025q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q4_launch_2023q4_age24,shentel_glo,Q4 2023 launch,2023-Q4,2025-12-31,24,31000,0.178,A,shentel_2025q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q4_launch_2023q3_age27,shentel_glo,Q3 2023 launch,2023-Q3,2025-12-31,27,20000,0.226,A,shentel_2025q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q4_launch_2023q2_age30,shentel_glo,Q2 2023 launch,2023-Q2,2025-12-31,30,21000,0.254,A,shentel_2025q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q4_launch_2023q1_age33,shentel_glo,Q1 2023 launch,2023-Q1,2025-12-31,33,17000,0.280,A,shentel_2025q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2025q4_launch_2022q4_age36,shentel_glo,Q4 2022 launch,2022-Q4,2025-12-31,36,16000,0.276,A,shentel_2025q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q1_launch_2026q1_age0,shentel_glo,Q1 2026 launch,2026-Q1,2026-03-31,0,22000,0.048,A,shentel_2026q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q1_launch_2025q4_age3,shentel_glo,Q4 2025 launch,2025-Q4,2026-03-31,3,26000,0.082,A,shentel_2026q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q1_launch_2025q3_age6,shentel_glo,Q3 2025 launch,2025-Q3,2026-03-31,6,21000,0.138,A,shentel_2026q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q1_launch_2025q2_age9,shentel_glo,Q2 2025 launch,2025-Q2,2026-03-31,9,16000,0.163,A,shentel_2026q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q1_launch_2025q1_age12,shentel_glo,Q1 2025 launch,2025-Q1,2026-03-31,12,17000,0.150,A,shentel_2026q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q1_launch_2024q4_age15,shentel_glo,Q4 2024 launch,2024-Q4,2026-03-31,15,27000,0.131,A,shentel_2026q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q1_launch_2024q3_age18,shentel_glo,Q3 2024 launch,2024-Q3,2026-03-31,18,22000,0.197,A,shentel_2026q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q1_launch_2024q2_age21,shentel_glo,Q2 2024 launch,2024-Q2,2026-03-31,21,22000,0.192,A,shentel_2026q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q1_launch_2024q1_age24,shentel_glo,Q1 2024 launch,2024-Q1,2026-03-31,24,25000,0.154,A,shentel_2026q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q1_launch_2023q4_age27,shentel_glo,Q4 2023 launch,2023-Q4,2026-03-31,27,31000,0.187,A,shentel_2026q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q1_launch_2023q3_age30,shentel_glo,Q3 2023 launch,2023-Q3,2026-03-31,30,20000,0.238,A,shentel_2026q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q1_launch_2023q2_age33,shentel_glo,Q2 2023 launch,2023-Q2,2026-03-31,33,21000,0.263,A,shentel_2026q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q1_launch_2023q1_age36,shentel_glo,Q1 2023 launch,2023-Q1,2026-03-31,36,17000,0.291,A,shentel_2026q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q2_launch_2026q2_age0,shentel_glo,Q2 2026 launch,2026-Q2,2026-06-30,0,27000,0.065,A,shentel_2026q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q2_launch_2026q1_age3,shentel_glo,Q1 2026 launch,2026-Q1,2026-06-30,3,22000,0.082,A,shentel_2026q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q2_launch_2025q4_age6,shentel_glo,Q4 2025 launch,2025-Q4,2026-06-30,6,26000,0.102,A,shentel_2026q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q2_launch_2025q3_age9,shentel_glo,Q3 2025 launch,2025-Q3,2026-06-30,9,21000,0.160,A,shentel_2026q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q2_launch_2025q2_age12,shentel_glo,Q2 2025 launch,2025-Q2,2026-06-30,12,16000,0.178,A,shentel_2026q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q2_launch_2025q1_age15,shentel_glo,Q1 2025 launch,2025-Q1,2026-06-30,15,17000,0.164,A,shentel_2026q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q2_launch_2024q4_age18,shentel_glo,Q4 2024 launch,2024-Q4,2026-06-30,18,27000,0.143,A,shentel_2026q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q2_launch_2024q3_age21,shentel_glo,Q3 2024 launch,2024-Q3,2026-06-30,21,22000,0.207,A,shentel_2026q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q2_launch_2024q2_age24,shentel_glo,Q2 2024 launch,2024-Q2,2026-06-30,24,22000,0.206,A,shentel_2026q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q2_launch_2024q1_age27,shentel_glo,Q1 2024 launch,2024-Q1,2026-06-30,27,25000,0.161,A,shentel_2026q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q2_launch_2023q4_age30,shentel_glo,Q4 2023 launch,2023-Q4,2026-06-30,30,31000,0.195,A,shentel_2026q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q2_launch_2023q3_age33,shentel_glo,Q3 2023 launch,2023-Q3,2026-06-30,33,20000,0.244,A,shentel_2026q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2026q2_launch_2023q2_age36,shentel_glo,Q2 2023 launch,2023-Q2,2026-06-30,36,21000,0.273,A,shentel_2026q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000

